Pipeline_name,Run_start,Run_end,Duration,Triggered,Status,Error,Run,Parameter,Run_ID
Pipeline_10,2025-06-03 23:25:00,2025-06-03 23:29:00,0:04:00,Webhook,Queued,,Pipeline_10_run_40,execution_type=Medicare,run_76647
Pipeline_10,2025-06-03 16:01:00,2025-06-03 17:15:00,1:14:00,Manual,Success,,Pipeline_10_run_41,execution_type=Medicaid,run_13303
Pipeline_8,2025-06-02 00:07:00,2025-06-02 01:31:00,1:24:00,Manual,Failed,Timeout Error on Job 2,Pipeline_8_run_42,execution_type=Medicare,run_53070
Pipeline_6,2025-06-03 22:16:00,2025-06-03 22:36:00,0:20:00,Webhook,In Progress,,Pipeline_6_run_43,execution_type=Medicare,run_56649
Pipeline_2,2025-06-03 11:25:00,2025-06-03 12:41:00,1:16:00,Manual,Success,,Pipeline_2_run_44,execution_type=Medicaid,run_69388
Pipeline_5,2025-06-02 10:25:00,2025-06-02 11:27:00,1:02:00,Schedule,Queued,,Pipeline_5_run_45,execution_type=Medicare,run_77957
Pipeline_8,2025-06-02 12:05:00,2025-06-02 12:23:00,0:18:00,Webhook,Failed,FileNotFoundError in input stage,Pipeline_8_run_46,execution_type=Medicaid,run_45905
Pipeline_5,2025-06-02 11:15:00,2025-06-02 12:22:00,1:07:00,Manual,Success,,Pipeline_5_run_47,execution_type=Medicaid,run_67586
Pipeline_4,2025-06-02 21:08:00,2025-06-02 21:11:00,0:03:00,Manual,Failed,NullPointerException at stage 3,Pipeline_4_run_48,execution_type=Medicaid,run_25993
Pipeline_4,2025-06-03 05:18:00,2025-06-03 06:28:00,1:10:00,Webhook,Success,,Pipeline_4_run_49,execution_type=Medicaid,run_63307
Pipeline_1,2025-06-02 18:00:00,2025-06-02 19:06:00,1:06:00,Schedule,Failed,Timeout Error on Job 2,Pipeline_1_run_50,execution_type=Medicare,run_42188
